Name,Operator,StationType,Street,StreetNumber,PostalCode,Town,Country,Latitude,Longitude,Phone,Email,Website,RatingStars,TotalVotes
Public Vehicle Charger,Manolis Takoroni,private,Syggrou,25,82456,Trikala,Greece,39.473494,23.412241,2629911686,giannispapadakis1979@ece.ntua.met,https://www2.webpage.softeng.gr.mp3,1.53,162
Electric Station,Vasilis Papadopoulos,commercial,Bouboulinas,222,94964,Alexandroupoli,Greece,38.338334,22.662871,5075187308,operatorlove1997@protonmail.us,https://snr.jurassic.ece.ntua.us.html,4.48,74
Super Car Plugin,Xenia Kolokotronis,commercial,Dionisiou Aeropagitou,78,92353,Irakleio,Greece,39.132154,21.915481,3797267242,johnsupertroll2015@protonmail.com,https://email.fancy.home.uk.mp3,0.88,13
Military Home,Elena Papadakis,private,Kokkinopoulou,255,61478,Karditsa,Greece,39.436604,22.844571,9931048633,faviconpapadakis1958@ece.ntua.com,https://www.legal.softeng.us.xlm,2.25,120
Electric Vehicle Charger,Manolis Kapodistrias,commercial,Axilleos,3,89218,Athens,Greece,38.956974,22.967161,8066437893,marialove1993@mail.ntua.com,https://snr.legal.home.met.xlm,3.22,149
Electric Vehicle Charger,Maria Papadakis,private,Bouboulinas,89,37290,Drama,Greece,39.339794,22.832281,2767400434,giannisrandom2010@yahoo.met,https://snr.google.mechan.gov.xlm,3.11,110
Public Vehicle Charger,Marios Takoroni,public,Poseidonos,249,84099,Lamia,Greece,39.016044,23.652311,3947120557,usersupertroll1989@gmail.in,https://www.webpage.mechan.it.pdf,1.57,48
National Vehicle Charger,Mixalis Sotiropoulos,private,Katexaki,86,11620,Drama,Greece,39.500014,21.912291,8819726699,userworld1952@outlook.uk,https://www.minister.softeng.uk.html,1.96,142
E-Autonomous Vehicle Charger,Vasilis Kapodistrias,commercial,Thiseos,4,79662,Patra,Greece,37.560594,23.323071,8336893537,johnrandom1989@hotmail.com,https://telnet.webpage.ece.ntua.gr.htm,1.14,42
Public Station,Giorgos Kapodistrias,military,Peiraios,8,15316,Irakleio,Greece,37.458174,22.431141,6752761384,providerpapadakis1975@info.us,https://telnet.mama.softeng.us.mp4,3.08,148
BP Car,Kostas Kapodistrias,commercial,Poseidonos,74,37074,Livadia,Greece,39.216324,24.001071,6701517697,johnforthewin1970@mail.ntua.gr,https://snr.mama.softeng.eu.json,2.31,111
Super Station,Mixalis Kapodistrias,private,Iroon Politexneiou,160,13145,Patra,Greece,39.407994,21.266681,2508955573,mariaforthewin1965@hotmail.gov,https://www.filesystem.softeng.ger.xlm,1.6,5
Euro Vehicle Charger,Elena Loulakis,commercial,Iroon Politexneiou,98,26843,Lamia,Greece,39.610534,23.826641,3550731274,johnworld1944@hotmail.ger,https://www.webpage.ece.ntua.in.html,1.21,189
My Vehicle Charger,Maria Oikonomou,military,Poseidonos,220,58988,Trikala,Greece,38.914444,23.274181,8397574319,johnellada2018@info.gov,https://telnet.mama.ntua.gov.htm,1.09,136
National Station,Kostas Georgiou,private,Ermou,5,23997,Trikala,Greece,38.173764,22.408311,2559608601,giorgospapadakis1951@yahoo.gov,https://telnet.mama.mechan.in.json,3.1,124
Electric Home,Makis Anastasiou,commercial,Agiou Alexandrou,204,82761,Athens,Greece,38.495864,22.766511,9958415699,lordmaestros2012@mailfence.it,https://telnet.google.ece.ntua.com.html,3.01,64
Euro Car Plugin,Kostas Takoroni,military,Katexaki,131,82921,Livadia,Greece,37.685224,21.203461,5932050849,providerrandom2000@gmail.met,https://www2.webpage.home.gov.pdf,2.33,80
