Name,Operator,StationType,Street,StreetNumber,PostalCode,Town,Country,Latitude,Longitude,Phone,Email,Website,RatingStars,TotalVotes
Super Station,Marios Takoroni,private,Syggrou,90,74364,Patra,Greece,37.449724,23.624201,7051784405,userworld1952@info.it,https://email.minister.mechan.eu.json,2.42,85
Euro Station,Elena Georgiou,public,Iroon Politexneiou,171,17560,Patra,Greece,38.597694,21.319831,9618437133,mariarandom2015@yahoo.gr,https://www2.starwars.mechan.in.pdf,3.72,164
Military Car Plugin,Manolis Kolokotronis,private,Peiraios,77,54245,Thessaloniki,Greece,38.935084,22.585611,4793742085,johnsupertroll1984@yahoo.met,https://www.fancy.mechan.it.json,0.75,23
BP Station,Elena Georgiou,private,Poseidonos,187,54873,Alexandroupoli,Greece,38.608424,22.369621,9738629529,giannispapadakis1995@yahoo.us,https://email.poetry.ece.ntua.gr.pdf,2.33,34
Military Station,Stella Sotiropoulos,private,Taxiarxon,161,64726,Thessaloniki,Greece,38.249334,23.525001,9190547889,giannisrandom1987@mail.ntua.in,https://telnet.legal.ece.ntua.in.ddl,2.22,92
Military Car Plugin,Xenia Loulakis,military,Axilleos,187,74025,Trikala,Greece,38.858434,23.222701,4737088923,mariaworld1956@protonmail.com,https://www.legal.mechan.in.ddl,3.12,185
Electric Car Plugin,Elena Papadopoulos,commercial,Taxiarxon,9,83370,Lamia,Greece,38.159454,23.416431,7739000649,mariaforthewin1977@protonmail.uk,https://email.poetry.ece.ntua.uk.pdf,1.82,15
Euro Car,Vasilis Loulakis,commercial,Axilleos,65,12819,Lamia,Greece,37.766244,22.468441,7586679464,lordforthewin1964@mail.ntua.gr,https://www.filesystem.home.gr.pdf,2.2,65
BP Car,Marios Loulakis,commercial,Katexaki,205,78470,Patra,Greece,39.299544,21.513461,8111042275,lordforthewin1967@info.in,https://email.minister.ntua.ger.html,1.46,193
Military Vehicle Charger,Marios Oikonomou,private,Bouboulinas,124,56052,Irakleio,Greece,38.518764,23.259151,2918111208,operatorlove2007@hotmail.in,https://snr.webpage.home.it.json,2.31,163
National Home,Dimitra Loulakis,private,Thiseos,235,46941,Athens,Greece,37.428504,21.668461,3328968709,giannismaestros1944@mailfence.it,https://telnet.poetry.home.it.xlm,1.41,16
Public Car,Vasilis Sotiropoulos,public,Katexaki,97,79851,Patra,Greece,38.571004,23.971681,5549550994,giorgossupertroll1961@mail.ntua.com,https://email.poetry.mechan.met.html,3.91,33
Public Vehicle Charger,Giannis Papadakis,private,Syggrou,238,19031,Trikala,Greece,38.818914,23.811341,1305418910,giannisforthewin1992@outlook.in,https://www2.jurassic.home.in.htm,2.5,112
Electric Vehicle Charger,Kostas Papadopoulos,private,Axilleos,9,74587,Livadia,Greece,39.555644,22.779941,4069922046,giannismaestros1950@gmail.gr,https://snr.fancy.softeng.uk.json,2.38,70
BP Car Plugin,Giorgos Anastasiou,commercial,Taxiarxon,157,72935,Irakleio,Greece,37.986194,22.359201,2876417028,userellada2008@gmail.in,https://snr.poetry.softeng.met.json,4.04,173
Super Home,Stella Kapodistrias,public,Vasileos Konstantinou,208,13239,Livadia,Greece,38.326614,22.286181,2504968824,operatorforthewin1963@protonmail.met,https://telnet.legal.mechan.it.mp4,3.08,138
Euro Home,Stella Anastasiou,public,Kifisias,170,51757,Thessaloniki,Greece,38.815304,22.996231,2934268359,operatorpapadakis1947@protonmail.met,https://email.webpage.ntua.in.pdf,1.35,81
BP Vehicle Charger,Vasilis Loulakis,public,Kifisias,203,34425,Karditsa,Greece,37.872074,22.017521,3829664409,lordworld1956@gmail.in,https://email.starwars.mechan.met.mp3,2.67,23
Public Station,Dimitra Oikonomou,public,Katexaki,218,46322,Athens,Greece,39.313764,23.015321,3071387566,lordrandom2002@mailfence.com,https://www.legal.ece.ntua.it.pdf,3.43,144
Euro Home,Kostas Anastasiou,public,Peiraios,155,39829,Lamia,Greece,38.618394,22.979521,1221115920,lordworld1964@hotmail.com,https://www.fancy.ece.ntua.ger.ddl,2.56,147
Public Station,Stella Oikonomou,military,Axilleos,45,25100,Larisa,Greece,39.548024,22.859851,3867111565,mariaworld1993@mailfence.eu,https://snr.filesystem.mechan.gr.xlm,2.55,11
Public Car Plugin,Manolis Anastasiou,private,Peiraios,30,61789,Athens,Greece,39.451314,22.378151,2949390342,providerellada1985@gmail.eu,https://telnet.google.home.in.mp4,2.32,78
Super Home,Dimitra Loulakis,public,Thiseos,209,83151,Larisa,Greece,37.317544,22.296181,8085394624,providerpapadakis2017@hotmail.com,https://email.poetry.ece.ntua.us.htm,3.17,195
Euro Station,Makis Sotiropoulos,military,Peiraios,48,86696,Athens,Greece,37.713594,23.588771,6001983702,operatorforthewin1965@info.eu,https://www.jurassic.softeng.uk.html,3.55,1
Public Station,Vasilis Kapodistrias,commercial,Vasileos Konstantinou,159,13014,Livadia,Greece,39.353574,21.360011,8615645690,johnlove1996@ece.ntua.gov,https://telnet.legal.ntua.uk.mp3,4.39,134
E-Autonomous Vehicle Charger,Manolis Kapodistrias,private,Axilleos,210,83716,Irakleio,Greece,37.996544,22.461591,5759396954,faviconpapadakis1948@info.ger,https://snr.poetry.ece.ntua.eu.docx,1.71,106
Electric Home,Stella Papadopoulos,public,Kifisias,107,57035,Alexandroupoli,Greece,38.107294,23.891551,9145761296,operatormaestros1982@protonmail.eu,https://telnet.filesystem.ece.ntua.gr.docx,2.06,190
BP Station,Kostas Papadopoulos,public,Agiou Alexandrou,142,14940,Livadia,Greece,37.923234,23.405761,9314340503,faviconforthewin2006@mail.ntua.it,https://telnet.legal.softeng.it.docx,1.8,146
E-Autonomous Car,Maria Sotiropoulos,public,Thiseos,114,89923,Karditsa,Greece,38.933144,22.914701,6944423299,mariapapadakis2003@info.eu,https://www.mama.ece.ntua.eu.mp3,1.23,92
